Id,prefix,is_succession,pre_question,question,choices,distributions,year,topic,question_type,question_class
1,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,Ｑ１  お宅の生活は、去年の今頃と比べてどうでしょうか。この中から１つお答えください。,"['向上している', '同じようなもの', '低下している', 'わからない']","['5.5', '80.0', '14.1', '0.3']",r01,国民生活に関する世論調査,SA,経験
2,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,Ｑ２  あなたは、全体として、現在の生活にどの程度満足していますか。この中から１つお答えください。,"['満足している', 'まあ満足している', 'やや不満だ', '不満だ', 'どちらともいえない', 'わからない']","['11.5', '62.4', '20.0', '5.0', '1.0', '0.1']",r01,国民生活に関する世論調査,SA,経験
3,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,Ｑ３（１）  あなたは、次の生活のそれぞれの面では、どの程度満足していますか。（１）所得・収入について、（ア）から（エ）の中から該当するものをそれぞれ１つお答えください。,"['満足している', 'まあ満足している', 'やや不満だ', '不満だ', 'どちらともいえない', 'わからない']","['7.4', '44.9', '34.0', '11.6', '1.6', '0.5']",r01,国民生活に関する世論調査,SA,経験
4,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,Ｑ３（２）  あなたは、次の生活のそれぞれの面では、どの程度満足していますか。（２）資産・貯蓄について、（ア）から（エ）の中から該当するものをそれぞれ１つお答えください。,"['満足している', 'まあ満足している', 'やや不満だ', '不満だ', 'どちらともいえない', 'わからない']","['4.9', '37.6', '38.7', '15.7', '2.1', '1.0']",r01,国民生活に関する世論調査,SA,経験
5,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,Ｑ３（３）  あなたは、次の生活のそれぞれの面では、どの程度満足していますか。（３）自動車、電気製品、家具などの耐久消費財について、（ア）から（エ）の中から該当するものをそれぞれ１つお答えください。,"['満足している', 'まあ満足している', 'やや不満だ', '不満だ', 'どちらともいえない', 'わからない']","['14.3', '62.5', '17.3', '3.5', '1.7', '0.5']",r01,国民生活に関する世論調査,SA,経験
6,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,Ｑ３（４）  あなたは、次の生活のそれぞれの面では、どの程度満足していますか。（４）食生活について、（ア）から（エ）の中から該当するものをそれぞれ１つお答えください。,"['満足している', 'まあ満足している', 'やや不満だ', '不満だ', 'どちらともいえない', 'わからない']","['23.5', '65.1', '8.9', '1.7', '0.6', '0.1']",r01,国民生活に関する世論調査,SA,経験
7,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,Ｑ３（５）  あなたは、次の生活のそれぞれの面では、どの程度満足していますか。（５）住生活について、（ア）から（エ）の中から該当するものをそれぞれ１つお答えください。,"['満足している', 'まあ満足している', 'やや不満だ', '不満だ', 'どちらともいえない', 'わからない']","['23.6', '59.0', '13.7', '2.9', '0.7', '0.1']",r01,国民生活に関する世論調査,SA,経験
8,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,Ｑ３（６）  あなたは、次の生活のそれぞれの面では、どの程度満足していますか。（６）自己啓発・能力向上について、（ア）から（エ）の中から該当するものをそれぞれ１つお答えください。,"['満足している', 'まあ満足している', 'やや不満だ', '不満だ', 'どちらともいえない', 'わからない']","['8.5', '53.6', '25.3', '4.6', '5.8', '2.2']",r01,国民生活に関する世論調査,SA,経験
9,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,Ｑ３（７）  あなたは、次の生活のそれぞれの面では、どの程度満足していますか。（７）レジャー・余暇生活について、（ア）から（エ）の中から該当するものをそれぞれ１つお答えください。,"['満足している', 'まあ満足している', 'やや不満だ', '不満だ', 'どちらともいえない', 'わからない']","['13.3', '49.4', '25.8', '7.7', '3.4', '0.4']",r01,国民生活に関する世論調査,SA,経験
10,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,Ｑ４  あなたは、日頃の生活の中で、どの程度充実感を感じていますか。この中から１つお答えください。,"['十分充実感を感じている', 'まあ充実感を感じている', 'あまり充実感を感じていない', 'ほとんど（全く）充実感を感じていない', 'どちらともいえない', 'わからない']","['11.9', '62.2', '19.9', '4.6', '1.0', '0.4']",r01,国民生活に関する世論調査,SA,経験
11,これから質問することは、あなた（お宅）の現在の生活についての質問です。,YES,10,"（Ｑ４で「（ア）十分充実感を感じている」、「（イ）まあ充実感を感じている」、「（ウ）あまり充実感を感じていない」、「どちらともいえない」と答えた方に）
Ｑ４ＳＱ  日頃の生活の中で、充実感を感じるのは、主にどのような時ですか。この中からいくつでもあげてください。","['仕事にうちこんでいる時', '勉強や教養などに身を入れている時', '趣味やスポーツに熱中している時', 'ゆったりと休養している時', '家族団らんの時', '友人や知人と会合、雑談している時', '社会奉仕や社会活動をしている時', 'その他', 'わからない']","['29.6', '12.4', '43.6', '47.0', '48.5', '42.5', '8.4', '0.7', '1.4']",r01,国民生活に関する世論調査,MA,経験
12,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,"（全員の方に）
Ｑ５  あなたは、日頃の生活の中で、悩みや不安を感じていますか、それとも、悩みや不安を感じていませんか。","['悩みや不安を感じている', '悩みや不安を感じていない', 'わからない']","['63.2', '36.1', '0.7']",r01,国民生活に関する世論調査,SA,経験
13,これから質問することは、あなた（お宅）の現在の生活についての質問です。,YES,12,"（Ｑ５で「悩みや不安を感じている」と答えた方に）
Ｑ５ＳＱ  悩みや不安を感じているのはどのようなことについてですか。この中からいくつでもあげてください。","['自分の健康について', '家族の健康について', '自分の生活（進学、就職、結婚、子育てなど）上の問題について', '家族の生活（進学、就職、結婚、子育てなど）上の問題について', '現在の収入や資産について', '今後の収入や資産の見通しについて', '老後の生活設計について', '家族・親族間の人間関係について', '近隣・地域との関係について', '勤務先での仕事や人間関係について', '事業や家業の経営上の問題について', 'その他', 'わからない']","['54.2', '42.4', '20.4', '28.1', '35.2', '42.1', '56.7', '12.2', '6.4', '12.8', '5.7', '1.1', '0.1']",r01,国民生活に関する世論調査,MA,経験
14,これから質問することは、あなた（お宅）の現在の生活についての質問です。,NO,,"（全員の方に）
Ｑ６  あなたは、日頃の生活の中で、休んだり、好きなことをしたりする時間のゆとりがありますか。それとも、仕事や家事、学業などに精一杯で時間のゆとりがありませんか。この中から１つお答えください。","['かなりゆとりがある', 'ある程度ゆとりがある', 'あまりゆとりがない', 'ほとんどゆとりがない', 'わからない']","['20.8', '47.8', '23.3', '7.9', '0.2']",r01,国民生活に関する世論調査,SA,経験
